name,age,gender,occupation,marital_status,education_level,annual_income,residential_location,vehicle_make,vehicle_age,engine_size,mileage_driven_annually,accident_history,traffic_violations,claims_history,license_duration,risk_level,insurance_amount
SMWYB,38,M,Manager,Married,,60000,Suburban,Tesla,6,3,14000,3,0,2,25,Medium,950
AGGKA,39,M,Lawyer,Single,Master,30000,Suburban,Tesla,11,3,5000,2,1,0,16,Medium,1000
CNGCS,67,F,Engineer,Married,PhD,140000,Rural,Ford,10,2,14000,2,0,2,20,Medium,950
GSOVN,40,M,Teacher,Married,Bachelor,75000,Rural,Audi,8,1.5,17000,2,4,0,8,Medium,1000
VQTTB,36,F,Lawyer,Married,PhD,115000,Urban,Chevrolet,9,1.5,7000,3,2,0,36,Low,1000
OZXKA,46,M,Teacher,Divorced,PhD,120000,Rural,Chevrolet,7,4,6000,1,4,1,24,Medium,1150
FUGCY,40,F,Manager,Widowed,,25000,Rural,Honda,11,2.5,17000,1,3,2,6,High,1250
LEDLP,65,F,Retired,Widowed,Master,125000,Suburban,BMW,11,4,9000,3,1,2,11,Medium,1150
ZFWJF,22,M,Doctor,Married,,115000,Urban,Toyota,13,3,16000,1,4,2,5,High,1350
HCAFV,58,M,Architect,Married,,55000,Urban,Mercedes,1,4,18000,0,3,1,3,High,850
BONRL,35,F,Engineer,Divorced,,75000,Rural,Nissan,13,2.5,16000,3,3,2,5,High,1150
OMTOS,36,M,Architect,Widowed,PhD,80000,Suburban,Ford,1,2.5,11000,1,4,0,30,Medium,1000
IVBUK,18,M,Architect,Single,PhD,135000,Urban,Nissan,6,1.5,18000,2,1,1,14,Low,1350
TLTHH,60,F,Lawyer,Divorced,Master,85000,Suburban,Ford,10,4,15000,3,4,3,28,Medium,1150
OKQII,58,M,Architect,Widowed,PhD,35000,Rural,Honda,3,2,18000,3,4,3,23,Medium,1150
CMGMR,42,F,Lawyer,Married,,30000,Suburban,Ford,4,4,6000,0,4,1,35,Medium,850
UCKIY,33,M,Manager,Married,Master,135000,Urban,Toyota,1,4,16000,0,1,1,1,High,850
PBJBL,53,M,Retired,Divorced,,125000,Urban,Nissan,2,2.5,16000,2,2,0,30,Medium,1000
PHQUB,69,M,Architect,Divorced,,125000,Suburban,Chevrolet,8,2,6000,1,3,3,34,Medium,1150
VBKWM,25,F,Teacher,Divorced,Master,40000,Urban,BMW,10,2,18000,0,1,1,32,Low,850
POIAA,33,F,Doctor,Married,Master,120000,Rural,BMW,2,2,5000,1,0,2,10,Low,950
YEQYM,66,M,Lawyer,Divorced,Master,50000,Suburban,BMW,11,4,19000,3,1,1,16,High,1150
NLQYT,49,M,Architect,Widowed,,115000,Rural,Mercedes,9,1.5,7000,0,1,1,34,Low,850
ZLSSU,46,F,Lawyer,Widowed,PhD,65000,Rural,BMW,6,2.5,5000,3,3,2,38,Low,1150
BWMFU,59,F,Lawyer,Widowed,Bachelor,20000,Suburban,Nissan,1,2,10000,1,4,0,13,Medium,1100
MBQBX,39,F,Teacher,Widowed,Master,125000,Rural,Mercedes,2,3,18000,2,0,3,26,Medium,950
JSKBY,28,M,Teacher,Widowed,,105000,Rural,Tesla,8,4,9000,0,4,3,30,Medium,850
UIPOR,44,M,Architect,Divorced,PhD,100000,Suburban,BMW,7,2.5,17000,3,0,3,1,Medium,950
PEBGZ,46,F,Retired,Married,Bachelor,125000,Rural,Nissan,4,3,18000,2,4,1,6,Medium,1150
GINMZ,53,M,Teacher,Widowed,Bachelor,105000,Suburban,Chevrolet,12,2.5,16000,0,0,1,35,Low,650
WZLCA,34,M,Architect,Widowed,,70000,Suburban,Honda,9,3,11000,0,0,0,36,Low,500
GCJZJ,54,M,Retired,Widowed,,135000,Rural,BMW,8,3.5,18000,1,4,3,21,Medium,1150
WZXYX,65,M,Doctor,Divorced,,80000,Suburban,Honda,8,2.5,14000,2,0,3,19,Medium,950
YMKAI,36,F,Teacher,Divorced,Bachelor,35000,Urban,Nissan,5,3.5,11000,1,4,0,29,High,1000
FOWWL,64,F,Lawyer,Widowed,Master,80000,Rural,BMW,7,3.5,17000,1,1,3,8,Medium,1150
WJTHV,41,M,Student,Married,Bachelor,60000,Rural,Audi,11,2,13000,0,1,2,31,Low,850
GXAMH,59,F,Artist,Married,,30000,Suburban,Chevrolet,9,2,6000,2,1,2,16,Medium,1150
TSHJV,40,F,Lawyer,Divorced,,25000,Suburban,Honda,12,1.5,16000,0,2,1,13,Medium,950
NHJWH,68,F,Doctor,Married,Master,130000,Rural,Audi,14,3.5,16000,3,4,2,1,High,1150
EGSMD,58,M,Artist,Married,,95000,Rural,Ford,13,2.5,13000,2,1,1,27,Medium,1150
YVCUW,42,M,Retired,Divorced,Bachelor,45000,Suburban,Audi,4,4,19000,1,4,0,21,Medium,1000
SRCQD,36,M,Engineer,Widowed,Master,145000,Rural,Toyota,2,3,11000,3,3,1,13,Medium,1150
RYECW,42,M,Student,Divorced,,105000,Urban,Chevrolet,12,2.5,16000,3,2,3,6,High,1150
ZJYXZ,60,F,Manager,Widowed,Master,120000,Urban,Mercedes,12,1.5,19000,0,2,2,13,High,850
RXFOL,21,F,Engineer,Single,Master,140000,Urban,Audi,12,2,8000,1,0,2,29,Low,1150
AXZYP,52,M,Teacher,Widowed,PhD,25000,Suburban,Honda,12,2.5,15000,2,3,3,22,Medium,1250
RJCLB,30,F,Architect,Divorced,PhD,65000,Suburban,Nissan,13,2.5,12000,2,3,3,36,Medium,1150
UHFRF,48,F,Engineer,Widowed,,65000,Suburban,Toyota,13,4,18000,2,0,2,14,High,950
HSEXD,23,F,Engineer,Widowed,,130000,Urban,Toyota,6,2.5,14000,1,1,2,12,High,1350
ZUGIE,26,F,Manager,Divorced,Bachelor,70000,Rural,Tesla,8,2,17000,3,0,1,37,Medium,950
ZTLGS,27,F,Architect,Single,,115000,Suburban,Ford,12,3.5,12000,1,0,1,32,Medium,950
WXYQL,63,F,Lawyer,Divorced,PhD,100000,Urban,BMW,5,3,6000,2,0,3,34,Medium,950
OXOCV,34,F,Student,Married,PhD,140000,Urban,Toyota,10,3,15000,1,3,2,15,High,1150
YZICY,25,F,Retired,Divorced,Bachelor,55000,Rural,BMW,13,4,19000,1,2,0,9,High,1000
RQAHZ,68,M,Artist,Widowed,,55000,Suburban,Mercedes,5,2.5,15000,0,3,3,10,Medium,850
TLFCZ,64,M,Engineer,Divorced,Master,85000,Urban,Mercedes,7,2,14000,0,0,0,2,High,500
USUTW,48,F,Doctor,Single,Bachelor,80000,Urban,Tesla,10,3,16000,0,4,1,29,Medium,850
DLOOT,49,F,Engineer,Single,Bachelor,120000,Rural,BMW,8,3,13000,0,2,0,4,Low,700
MWGPF,56,M,Student,Widowed,PhD,60000,Rural,Toyota,11,3.5,10000,2,0,0,19,Medium,800
VAGPR,25,F,Teacher,Widowed,Bachelor,40000,Urban,Tesla,13,2,6000,3,3,2,8,High,1150
LOMOU,52,F,Architect,Widowed,Bachelor,20000,Suburban,Chevrolet,6,1.5,11000,2,3,1,25,Medium,1250
ADGDB,20,M,Retired,Widowed,PhD,55000,Suburban,Mercedes,6,4,10000,2,0,3,14,Medium,1150
VKXZK,51,M,Student,Single,PhD,60000,Urban,Nissan,2,2.5,13000,0,2,0,10,Low,700
MDTPA,24,M,Student,Married,PhD,65000,Rural,Mercedes,10,3.5,6000,3,1,3,2,Medium,1350
QNUDC,18,F,Manager,Single,PhD,35000,Rural,Ford,13,4,19000,0,2,3,33,High,1050
GZIXI,51,F,Retired,Divorced,PhD,85000,Urban,Mercedes,5,3.5,19000,2,4,1,29,High,1150
XOHGC,37,F,Student,Single,Bachelor,35000,Rural,Nissan,1,2,5000,2,0,1,35,Low,950
FJPQM,44,M,Student,Single,,145000,Suburban,BMW,9,2,5000,2,0,0,27,Medium,800
BMSDE,26,F,Retired,Widowed,,145000,Suburban,Nissan,5,1.5,17000,2,3,2,22,Low,1150
LJWEE,47,F,Doctor,Divorced,PhD,130000,Urban,Tesla,4,4,9000,1,1,3,37,Low,1150
IDDCM,18,M,Engineer,Married,,90000,Urban,Mercedes,4,3,5000,0,1,2,10,Low,1050
RGABE,19,F,Artist,Widowed,Bachelor,60000,Suburban,Nissan,8,2,7000,3,1,1,11,Medium,1350
OTIPY,55,F,Artist,Divorced,Bachelor,95000,Suburban,Nissan,7,2.5,12000,0,1,2,28,Low,850
VMCDW,37,M,Teacher,Widowed,PhD,135000,Suburban,Chevrolet,10,3.5,18000,2,1,0,19,Medium,1000
GHKAK,52,F,Manager,Widowed,,140000,Rural,BMW,2,1.5,7000,2,1,0,6,Low,1000
FMDKT,31,M,Manager,Divorced,PhD,75000,Rural,BMW,11,4,7000,3,0,0,31,Medium,800
TVVMR,46,M,Doctor,Married,Master,60000,Rural,Tesla,14,2.5,16000,0,3,2,13,High,850
QNTVG,65,M,Retired,Divorced,,70000,Urban,Audi,4,2.5,18000,2,0,3,17,High,950
AWIAT,29,M,Architect,Single,,25000,Urban,Nissan,2,1.5,17000,3,4,3,11,High,1250
BDKQM,68,M,Architect,Widowed,,25000,Urban,Nissan,12,1.5,6000,2,3,0,9,Medium,1100
EFSGR,34,M,Architect,Widowed,Master,105000,Urban,Honda,14,3,13000,1,2,2,35,Medium,1150
DIXPB,49,F,Teacher,Widowed,Bachelor,100000,Suburban,Toyota,6,2,6000,2,1,2,6,Medium,1150
JZWVG,27,F,Artist,Single,Master,145000,Urban,BMW,7,3.5,18000,1,0,2,13,High,950
VZSRC,64,F,Engineer,Widowed,Master,40000,Suburban,Mercedes,1,3,17000,1,0,1,18,Medium,950
LNXDN,20,F,Doctor,Single,,110000,Rural,Mercedes,6,3,10000,1,3,2,18,Low,1350
JCBZG,23,F,Engineer,Widowed,,125000,Urban,Honda,14,4,7000,3,3,1,33,Medium,1350
JYCZY,19,F,Lawyer,Single,,45000,Rural,Ford,13,2,12000,0,3,1,4,Medium,1050
NBXMX,26,M,Retired,Widowed,,80000,Urban,Ford,2,2.5,11000,1,0,1,18,Low,950
BUBTB,65,M,Artist,Widowed,PhD,20000,Suburban,Honda,9,3.5,11000,1,3,3,6,Medium,1250
QPQET,42,M,Doctor,Married,Bachelor,55000,Urban,Toyota,14,1.5,14000,2,4,2,5,High,1150
IABBP,32,F,Lawyer,Divorced,PhD,125000,Rural,BMW,2,2.5,6000,0,2,1,32,Low,850
QOHSA,50,F,Architect,Single,Master,90000,Urban,Tesla,8,3.5,18000,2,2,1,10,High,1150
JEUYH,23,F,Manager,Single,PhD,135000,Rural,Nissan,8,2.5,10000,1,4,2,32,Medium,1350
DKYFW,56,M,Manager,Divorced,Master,135000,Rural,Honda,4,4,14000,2,1,0,20,Medium,1000
MRYPG,64,M,Manager,Single,PhD,45000,Rural,Toyota,3,3.5,16000,2,0,1,32,Medium,950
ADABK,45,M,Manager,Single,Bachelor,55000,Suburban,BMW,9,1.5,16000,2,0,0,11,Medium,800
ZUYSR,36,M,Lawyer,Single,PhD,145000,Urban,Tesla,6,3.5,15000,3,2,2,6,High,1150
LFLML,42,M,Retired,Divorced,Bachelor,85000,Rural,Audi,4,3,15000,0,1,2,9,Low,850
JPXYG,49,M,Manager,Married,Master,60000,Urban,Honda,11,2.5,6000,1,1,1,12,Medium,1150
VNZUR,29,F,Manager,Widowed,Bachelor,105000,Urban,Honda,8,2,19000,2,2,0,16,High,1000
LJMHH,26,M,Manager,Single,Bachelor,35000,Rural,Ford,2,3,10000,3,4,0,14,Medium,1000
GLNGA,53,F,Doctor,Divorced,Master,40000,Rural,Tesla,14,2,12000,0,3,0,8,Medium,700
QAUUQ,65,M,Doctor,Widowed,Bachelor,85000,Urban,Chevrolet,11,3,16000,2,3,3,11,High,1150
LRJFQ,63,M,Engineer,Divorced,Bachelor,125000,Urban,Mercedes,13,3,11000,0,1,3,6,High,850
KUGUR,31,F,Engineer,Widowed,Master,60000,Suburban,Honda,5,2.5,8000,1,2,0,21,Medium,1000
JIYAO,34,M,Student,Widowed,Bachelor,90000,Rural,Mercedes,12,1.5,5000,1,2,3,12,Medium,1150
KEMNH,46,F,Retired,Widowed,PhD,145000,Rural,Honda,6,1.5,9000,0,4,0,16,Medium,700
FEYIB,50,F,Architect,Married,PhD,75000,Urban,Tesla,13,2,16000,3,0,3,14,High,950
FMNQE,45,F,Doctor,Single,,120000,Urban,BMW,4,2,13000,1,0,0,33,Low,800
DUCBD,65,F,Retired,Single,PhD,95000,Rural,Ford,4,1.5,10000,0,2,2,6,Low,850
PBKWP,60,F,Architect,Widowed,Master,85000,Rural,Ford,8,2.5,9000,2,3,2,29,Medium,1150
VOGFP,47,M,Architect,Married,Bachelor,80000,Suburban,Mercedes,4,2.5,19000,2,3,2,30,Medium,1150
FMMIT,48,M,Artist,Divorced,Master,90000,Rural,Nissan,2,4,12000,0,2,0,29,Medium,700
FBMLX,47,M,Engineer,Widowed,Master,90000,Suburban,Honda,7,3,9000,0,0,0,31,Low,500
LDIMH,38,M,Artist,Married,,45000,Rural,Mercedes,11,2,7000,0,4,0,26,Medium,700
HMMFY,56,F,Retired,Divorced,Master,75000,Urban,Nissan,11,2.5,14000,1,2,1,5,High,1150
BYMPY,58,M,Architect,Divorced,Master,25000,Suburban,Chevrolet,11,3,15000,3,2,0,27,Medium,1100
EZDOZ,18,F,Retired,Divorced,PhD,30000,Urban,Audi,10,1.5,12000,1,3,0,28,High,1200
OTVEJ,30,F,Student,Single,Bachelor,105000,Urban,Audi,8,4,16000,2,2,1,15,High,1150
WDBKC,27,F,Student,Widowed,,60000,Urban,Chevrolet,13,1.5,16000,3,3,2,38,Medium,1150
LBYHY,21,M,Manager,Married,Bachelor,90000,Suburban,Honda,11,2,5000,1,0,2,19,Low,1150
BHCNI,32,F,Lawyer,Divorced,PhD,70000,Rural,Chevrolet,6,3.5,7000,2,0,3,10,Medium,950
RJTIS,43,F,Teacher,Single,Bachelor,115000,Suburban,Ford,5,4,13000,0,0,2,30,Low,650
RMLFP,47,F,Artist,Divorced,Master,50000,Urban,Honda,1,1.5,19000,3,1,1,9,High,1150
JCMWB,56,M,Student,Married,Master,75000,Suburban,Honda,14,3.5,10000,3,3,2,38,Medium,1150
TMGYM,48,M,Lawyer,Single,,85000,Urban,Mercedes,10,2,18000,1,3,1,12,High,1150
AHCPY,62,F,Manager,Single,PhD,50000,Urban,Tesla,8,1.5,14000,1,1,1,11,Medium,1150
LTEZU,68,M,Architect,Married,Bachelor,130000,Rural,BMW,3,2,19000,0,1,0,24,Low,700
SCERA,60,F,Retired,Single,PhD,50000,Rural,Ford,1,3,17000,3,1,0,18,Medium,1000
EXYGX,37,M,Lawyer,Single,,45000,Suburban,Nissan,1,4,16000,0,2,2,37,Medium,850
IZNYL,50,F,Student,Divorced,PhD,80000,Suburban,Ford,12,2,6000,2,3,2,2,Medium,1150
CYDYE,64,M,Teacher,Divorced,Master,115000,Rural,Mercedes,8,1.5,9000,3,2,0,29,Medium,1000
DBFNR,67,F,Engineer,Widowed,PhD,55000,Rural,Ford,1,3.5,18000,0,4,2,1,High,850
DTRNM,37,F,Architect,Divorced,,45000,Urban,Nissan,13,1.5,18000,1,1,2,28,High,1150
EJESE,57,M,Artist,Married,Bachelor,70000,Urban,Tesla,2,3,5000,2,0,2,9,Medium,950
MSKKX,39,M,Student,Married,PhD,95000,Suburban,Mercedes,10,2.5,15000,0,2,1,11,High,850
DBGBF,54,F,Engineer,Single,Master,140000,Urban,BMW,9,1.5,10000,0,2,1,16,Low,850
MUZCZ,31,M,Student,Widowed,Bachelor,90000,Urban,Ford,9,3,17000,3,4,1,31,Medium,1150
KERMB,29,M,Doctor,Divorced,Master,95000,Suburban,Nissan,3,3,18000,0,3,3,4,Medium,850
GAPLN,50,M,Artist,Single,Bachelor,110000,Rural,Nissan,9,3.5,6000,3,1,1,26,Medium,1150
VNWSB,27,F,Student,Widowed,PhD,80000,Urban,Nissan,8,2.5,8000,1,0,2,16,Low,950
ZQUVA,66,M,Doctor,Divorced,Master,130000,Urban,Mercedes,10,2,10000,2,3,3,1,Medium,1150
EOVHZ,61,F,Manager,Divorced,Master,120000,Suburban,Mercedes,7,3.5,11000,0,4,3,1,Medium,850
UBTZJ,37,M,Doctor,Widowed,PhD,85000,Rural,Toyota,7,4,6000,2,2,0,36,Medium,1000
KSGYV,47,M,Manager,Widowed,Bachelor,95000,Rural,Audi,13,3.5,10000,3,4,3,37,Medium,1150
QETNN,61,F,Artist,Married,,100000,Suburban,Mercedes,8,2.5,7000,0,3,1,11,Medium,850
ABCXT,51,M,Manager,Single,Master,135000,Rural,Toyota,1,2,18000,3,0,1,30,Medium,950
UNAYS,60,F,Lawyer,Divorced,,30000,Urban,Chevrolet,1,1.5,7000,2,4,2,22,Low,1150
AUCRB,31,F,Manager,Widowed,Master,115000,Rural,Audi,4,2.5,16000,2,2,0,7,Medium,1000
AYWVC,22,F,Retired,Single,Bachelor,75000,Urban,Mercedes,11,1.5,10000,0,0,3,22,Low,850
IPRLD,27,F,Engineer,Widowed,PhD,25000,Suburban,Tesla,14,1.5,15000,3,1,0,22,Medium,1100
UCSQD,54,F,Lawyer,Married,Master,125000,Urban,BMW,10,1.5,13000,3,3,2,4,High,1150
JVJMK,39,M,Lawyer,Widowed,PhD,135000,Urban,Ford,3,3,17000,0,2,0,39,Low,700
NNYSC,35,F,Manager,Divorced,Master,135000,Urban,Audi,8,3.5,13000,1,1,3,12,High,1150
ANXNO,65,M,Retired,Widowed,,100000,Suburban,BMW,12,3,10000,1,0,0,24,Medium,800
KQBVB,65,F,Architect,Widowed,PhD,30000,Suburban,Audi,8,2.5,19000,3,3,3,25,Medium,1150
PFTNV,68,F,Teacher,Divorced,Master,90000,Urban,BMW,11,4,6000,3,3,0,39,Medium,1000
ZBTIP,20,M,Manager,Single,Master,140000,Suburban,Mercedes,4,2.5,11000,0,0,3,6,Low,850
TEGDJ,47,F,Architect,Single,,55000,Rural,Nissan,12,3,19000,3,4,3,27,High,1150
TLSZI,52,M,Lawyer,Widowed,,130000,Suburban,Ford,8,2.5,17000,3,0,0,12,Medium,800
IETIZ,42,F,Lawyer,Single,Master,110000,Rural,BMW,14,4,13000,0,3,1,16,High,850
UHSOV,67,M,Engineer,Single,PhD,85000,Suburban,Toyota,2,3,6000,1,2,0,5,Low,1000
QRUWM,31,F,Student,Widowed,Master,35000,Suburban,BMW,5,4,12000,3,4,2,4,Medium,1150
ACXJV,40,M,Engineer,Divorced,Bachelor,20000,Rural,BMW,7,2.5,6000,3,3,0,24,Medium,1100
TNYHH,30,M,Teacher,Married,,25000,Rural,Ford,9,4,15000,0,3,0,7,High,800
WRTUA,52,F,Architect,Widowed,,120000,Suburban,Ford,6,2,11000,2,1,3,12,Medium,1150
WRNXF,50,F,Student,Married,,135000,Suburban,BMW,1,3.5,8000,0,4,0,39,Medium,700
ZJVEE,27,M,Teacher,Single,Master,125000,Rural,Mercedes,8,4,6000,2,4,2,26,Medium,1150
JXCBJ,50,M,Student,Widowed,Master,110000,Rural,Nissan,6,3,14000,1,4,0,13,Medium,1000
NRJYE,22,M,Student,Divorced,,135000,Suburban,Nissan,3,2.5,10000,3,1,2,39,Medium,1350
OYHAV,38,F,Teacher,Single,,140000,Urban,Ford,3,3,15000,2,4,3,13,High,1150
EWKWD,27,F,Doctor,Divorced,Master,85000,Urban,Ford,8,4,18000,1,1,1,6,High,1150
VJQAH,21,F,Manager,Widowed,PhD,50000,Rural,Tesla,2,3,5000,0,4,1,19,Medium,1050
OVXBZ,61,F,Teacher,Single,Bachelor,95000,Rural,Tesla,1,2.5,14000,1,3,3,27,Low,1150
UXAXZ,60,M,Engineer,Married,Bachelor,80000,Rural,Mercedes,7,2.5,18000,0,3,3,39,Medium,850
UIOUB,38,M,Artist,Divorced,Master,60000,Urban,Audi,10,2,13000,2,0,2,34,High,950
NVYDE,43,F,Manager,Single,Master,110000,Urban,Mercedes,13,1.5,7000,3,0,2,36,Medium,950
SWWGS,33,F,Retired,Single,PhD,20000,Suburban,Audi,9,3,15000,0,2,2,9,High,950
CLOBN,37,M,Manager,Divorced,,20000,Suburban,Tesla,3,3,15000,3,4,0,38,Medium,1100
SDGKF,67,F,Retired,Married,Bachelor,60000,Urban,Tesla,11,4,16000,1,0,3,24,High,950
OFADW,59,M,Architect,Widowed,,80000,Urban,Mercedes,4,3,9000,1,0,3,35,Low,950
QYBJI,55,M,Artist,Married,Master,65000,Urban,BMW,6,3.5,5000,1,1,1,27,Medium,1150
LUEVM,33,M,Lawyer,Divorced,Master,130000,Rural,Honda,5,4,7000,2,3,2,36,Medium,1150
MVSGR,29,F,Engineer,Single,,85000,Rural,Mercedes,10,4,10000,1,2,2,29,Medium,1150
VNXYS,27,F,Teacher,Widowed,,50000,Rural,Nissan,7,2.5,10000,2,2,1,3,Medium,1150
YEKPT,32,M,Retired,Married,PhD,65000,Urban,Nissan,9,3.5,6000,0,4,1,26,Medium,850
NLIKA,22,M,Retired,Divorced,Master,75000,Urban,Honda,10,2,11000,3,2,1,36,Medium,1350
BUVQX,47,F,Teacher,Divorced,Master,20000,Suburban,Tesla,10,4,13000,1,2,1,28,Medium,1250
OBCCB,37,F,Manager,Divorced,PhD,100000,Suburban,Toyota,13,2.5,19000,1,2,0,29,Medium,1000
PRWPG,38,M,Manager,Widowed,PhD,75000,Rural,Mercedes,13,3,17000,1,3,1,15,High,1150
IAPTV,67,F,Architect,Divorced,PhD,70000,Urban,Tesla,5,2,7000,3,3,1,3,Medium,1150
ERVJT,38,F,Engineer,Widowed,PhD,65000,Urban,Tesla,10,2,14000,1,2,2,36,Low,1150
MDFVT,56,M,Teacher,Single,Master,40000,Rural,Ford,5,2.5,18000,3,4,0,12,Medium,1000
DJRES,61,F,Engineer,Widowed,PhD,80000,Rural,Mercedes,6,2,8000,2,0,3,22,Medium,950
HGGVZ,60,F,Retired,Widowed,,60000,Urban,Chevrolet,4,3,19000,0,4,2,16,Medium,850
TNUJX,36,F,Student,Married,Bachelor,40000,Suburban,BMW,6,4,7000,3,2,1,39,Medium,1150
JRCUT,45,M,Manager,Widowed,PhD,135000,Rural,Nissan,14,1.5,12000,0,4,3,26,Medium,850
UMENJ,65,F,Architect,Married,PhD,25000,Urban,Toyota,7,4,6000,3,0,3,2,High,1050
IYUAM,28,F,Student,Single,Bachelor,45000,Suburban,Chevrolet,6,1.5,19000,3,2,1,14,Medium,1150
YYJOI,64,M,Manager,Married,PhD,145000,Rural,Toyota,4,3.5,8000,2,0,3,15,Medium,950
HIDFX,48,M,Engineer,Single,Master,35000,Urban,BMW,10,3,17000,0,0,1,35,High,650
QOXEF,41,M,Student,Married,Bachelor,55000,Suburban,Tesla,4,4,18000,1,2,1,4,Medium,1150
ARZYN,65,M,Architect,Married,Master,20000,Rural,Chevrolet,10,2.5,14000,2,2,0,35,Medium,1100
KCBKR,26,M,Architect,Widowed,PhD,20000,Urban,Mercedes,14,3,19000,1,0,0,4,High,900
VVFQZ,49,M,Student,Divorced,Master,90000,Suburban,BMW,3,4,11000,1,4,3,25,Medium,1150
BYFOT,37,M,Teacher,Widowed,,25000,Urban,Chevrolet,7,4,13000,0,0,2,7,High,750
STXWE,28,M,Engineer,Divorced,Master,70000,Suburban,Toyota,6,1.5,19000,3,3,0,9,Medium,1000
HIQJR,69,M,Manager,Divorced,Bachelor,75000,Urban,Toyota,6,4,7000,0,0,1,32,Medium,650
DGKPZ,37,M,Teacher,Married,PhD,110000,Urban,Ford,11,3,5000,1,0,3,17,Medium,950
EOUAO,62,F,Lawyer,Divorced,Master,130000,Suburban,Audi,1,2.5,15000,1,3,2,18,Medium,1150
SAQLF,20,F,Doctor,Widowed,Bachelor,140000,Rural,Ford,11,3.5,8000,1,2,3,21,Medium,1350
DWNBL,34,M,Manager,Divorced,Bachelor,40000,Rural,Honda,5,1.5,7000,0,0,0,28,Low,500
JJENL,50,F,Doctor,Single,,120000,Rural,Ford,9,2,6000,0,3,2,17,Medium,850
HLJKK,65,M,Teacher,Widowed,Master,105000,Suburban,Chevrolet,2,3,19000,0,2,2,21,Medium,850
CUWWR,65,F,Manager,Widowed,PhD,90000,Suburban,Honda,12,2.5,7000,2,3,2,22,Medium,1150
CRCCO,26,M,Manager,Widowed,Bachelor,100000,Urban,Mercedes,8,4,10000,1,4,3,7,High,1150
TBDEY,50,F,Engineer,Single,,50000,Rural,Toyota,2,2.5,15000,0,1,3,2,Low,850
BWHZU,38,F,Engineer,Single,Bachelor,145000,Rural,Honda,3,3.5,19000,1,4,2,32,Medium,1150
JQEXL,30,M,Student,Single,,75000,Suburban,BMW,13,3.5,12000,1,0,3,19,Medium,950
DZEHG,31,M,Teacher,Married,,80000,Rural,Toyota,13,1.5,7000,1,0,1,9,Medium,950
LTNCE,60,F,Teacher,Married,Master,100000,Urban,BMW,1,2,9000,0,1,1,30,Low,850
HGWOI,68,M,Doctor,Single,PhD,95000,Urban,Toyota,14,3,17000,1,0,1,37,High,950
EOFOB,19,F,Architect,Single,PhD,115000,Rural,Ford,14,4,17000,3,0,0,1,High,1000
AFSJN,68,M,Artist,Widowed,,120000,Suburban,Tesla,13,3,10000,3,3,3,13,Medium,1150
EVBUQ,59,F,Doctor,Married,Bachelor,70000,Urban,Honda,12,4,7000,0,3,1,38,Medium,850
THYRC,67,M,Student,Widowed,PhD,70000,Rural,Tesla,11,2.5,7000,3,0,2,2,Medium,950
DBWLR,51,M,Engineer,Widowed,Master,120000,Suburban,Chevrolet,4,3,16000,2,3,2,7,Medium,1150
XABVH,41,F,Teacher,Widowed,Master,70000,Urban,BMW,2,3.5,6000,1,3,1,9,Low,1150
VZGSC,20,F,Artist,Married,Bachelor,20000,Rural,Mercedes,3,2.5,5000,1,4,3,34,Low,1450
NUKRA,65,M,Lawyer,Widowed,Master,120000,Urban,Toyota,14,2,18000,2,4,3,19,High,1150
IBUBZ,31,M,Teacher,Widowed,PhD,50000,Suburban,Honda,5,1.5,13000,2,1,1,30,Medium,1150
MAHYG,52,M,Artist,Married,PhD,30000,Suburban,Ford,7,1.5,14000,2,2,0,39,Medium,1000
IRLCS,20,M,Architect,Divorced,,140000,Urban,BMW,4,4,8000,0,4,1,33,Low,1050
KLVJI,57,M,Architect,Married,PhD,35000,Suburban,Tesla,4,4,13000,1,0,1,17,Medium,950
XVAKO,31,F,Architect,Divorced,Bachelor,90000,Suburban,Honda,10,2,7000,2,4,3,21,Medium,1150
WVRKO,38,F,Doctor,Single,,135000,Suburban,Audi,2,3,15000,1,0,3,14,Low,950
KLVIJ,61,F,Manager,Widowed,PhD,65000,Urban,Honda,6,1.5,12000,0,0,2,23,Low,650
GTUUU,26,M,Retired,Married,PhD,135000,Suburban,Tesla,5,2,12000,1,1,2,7,Low,1150
LQPAY,67,M,Doctor,Divorced,PhD,105000,Suburban,Audi,13,2,17000,2,3,0,30,Medium,1000
PNHOE,26,M,Manager,Married,Bachelor,135000,Suburban,Audi,9,2.5,19000,3,3,1,20,Medium,1150
DYVUR,39,M,Student,Divorced,Bachelor,55000,Rural,Audi,9,3.5,9000,0,0,3,29,Low,650
JVCPY,61,F,Retired,Widowed,Master,50000,Suburban,Audi,7,4,12000,1,2,0,29,Medium,1000
MZAGF,59,M,Lawyer,Divorced,PhD,120000,Suburban,Audi,2,3,8000,0,3,2,13,Medium,850
MWTWM,41,M,Teacher,Married,PhD,140000,Suburban,Chevrolet,5,2,14000,0,2,2,35,Low,850
NIBNI,46,M,Engineer,Divorced,Master,130000,Rural,Audi,10,2,10000,3,0,3,37,Medium,950
NXBQI,56,F,Lawyer,Divorced,PhD,20000,Rural,Toyota,3,1.5,13000,2,0,0,37,Medium,900
KVQPO,31,F,Teacher,Divorced,,90000,Rural,Tesla,13,1.5,12000,1,3,2,39,Medium,1150
CERHR,52,F,Architect,Divorced,Master,110000,Urban,Toyota,10,2.5,13000,3,3,1,19,High,1150
