age,gender,occupation,marital_status,education_level,annual_income,residential_location,vehicle_make,vehicle_age,engine_size,mileage_driven_annually,accident_history,traffic_violations,claims_history,license_duration,risk
19,M,Artist,Married,None,105000,Urban,Audi,12,2.0,16000,3,4,0,15,High
39,F,Architect,Divorced,Master,130000,Urban,Chevrolet,12,4.0,13000,0,2,1,36,High
55,M,Doctor,Divorced,PhD,55000,Urban,Honda,6,4.0,5000,0,0,3,19,High
48,F,Teacher,Widowed,Master,65000,Urban,Nissan,11,4.0,8000,3,4,3,26,High
43,M,Engineer,Widowed,Bachelor,40000,Suburban,Nissan,11,3.0,13000,0,2,3,11,High
26,F,Retired,Widowed,Bachelor,65000,Suburban,Ford,13,4.0,8000,3,4,2,27,High
58,M,Teacher,Divorced,None,75000,Rural,Honda,2,4.0,13000,0,1,0,27,Low
57,F,Manager,Divorced,Bachelor,30000,Urban,Tesla,13,1.5,19000,0,3,2,35,High
57,F,Teacher,Married,None,55000,Urban,BMW,11,2.5,17000,2,4,2,1,High
68,M,Architect,Married,PhD,90000,Urban,Ford,1,4.0,12000,2,1,1,7,High
39,M,Architect,Widowed,None,80000,Urban,Audi,14,4.0,6000,1,3,0,29,High
59,F,Artist,Divorced,Bachelor,95000,Urban,Ford,11,2.0,5000,3,0,2,4,High
29,F,Retired,Single,None,145000,Urban,Toyota,6,3.0,9000,0,2,1,32,Medium
44,F,Manager,Widowed,Master,130000,Suburban,Toyota,7,4.0,12000,3,3,1,19,High
64,M,Student,Married,None,110000,Rural,Honda,6,2.0,5000,2,0,0,25,High
51,M,Retired,Single,Bachelor,35000,Urban,Ford,7,4.0,16000,0,0,0,6,Medium
40,M,Doctor,Widowed,PhD,130000,Suburban,BMW,3,4.0,10000,1,3,2,1,High
30,F,Architect,Married,Bachelor,100000,Urban,Tesla,9,3.0,9000,2,4,1,37,High
51,M,Lawyer,Married,PhD,120000,Urban,Honda,14,1.5,13000,3,2,0,2,High
52,M,Teacher,Single,None,125000,Suburban,Nissan,2,1.5,8000,1,3,3,30,High
28,F,Teacher,Single,PhD,55000,Rural,Honda,7,2.5,8000,0,3,2,39,High
50,F,Retired,Divorced,None,90000,Urban,Chevrolet,13,1.5,10000,1,1,0,21,High
27,M,Retired,Married,PhD,25000,Suburban,Toyota,3,2.5,5000,3,2,0,35,Low
59,F,Lawyer,Married,PhD,105000,Urban,BMW,10,4.0,18000,0,1,0,13,High
39,F,Student,Divorced,Master,45000,Suburban,Nissan,7,3.5,10000,1,4,0,39,High
35,M,Architect,Married,PhD,55000,Suburban,Honda,5,3.0,13000,0,2,0,24,Medium
44,F,Artist,Divorced,PhD,115000,Urban,Ford,5,4.0,14000,0,4,1,10,High
60,F,Lawyer,Married,Master,130000,Urban,Toyota,10,1.5,17000,1,2,0,36,Medium
49,F,Retired,Divorced,None,105000,Rural,Honda,14,2.0,15000,0,1,2,16,High
62,M,Artist,Single,Bachelor,95000,Urban,Honda,10,3.5,14000,3,3,0,34,High
34,F,Engineer,Widowed,None,40000,Rural,Honda,10,4.0,14000,0,0,2,6,High
38,M,Teacher,Married,Master,35000,Suburban,Audi,13,2.5,18000,0,0,1,24,High
51,F,Engineer,Widowed,None,105000,Suburban,Chevrolet,2,3.5,13000,3,0,3,9,High
64,M,Student,Married,Master,40000,Rural,Chevrolet,14,2.0,11000,2,2,2,30,High
19,M,Student,Single,PhD,115000,Urban,Mercedes,13,3.0,11000,2,3,0,12,High
31,M,Architect,Single,None,130000,Urban,Tesla,1,2.5,6000,2,2,0,19,Medium
48,M,Artist,Divorced,PhD,35000,Urban,Toyota,2,3.0,11000,3,4,0,15,High
50,F,Architect,Widowed,None,20000,Rural,Nissan,6,3.0,16000,3,3,2,20,High
47,F,Manager,Divorced,Bachelor,45000,Rural,Audi,10,1.5,17000,0,3,2,2,High
34,F,Architect,Single,Bachelor,40000,Urban,Audi,5,3.5,7000,1,4,0,23,High
68,F,Lawyer,Widowed,PhD,135000,Rural,BMW,1,3.0,10000,2,4,3,29,High
52,M,Artist,Divorced,PhD,145000,Suburban,Mercedes,14,2.5,19000,3,4,3,14,High
56,F,Doctor,Married,Master,120000,Urban,Audi,9,2.0,10000,0,3,1,10,High
18,F,Manager,Married,Bachelor,90000,Rural,Chevrolet,4,1.5,16000,1,1,0,37,Low
19,M,Retired,Single,Bachelor,65000,Urban,BMW,10,3.0,11000,1,4,0,16,High
20,M,Retired,Married,Bachelor,140000,Suburban,Audi,6,3.5,16000,3,1,2,14,High
27,F,Artist,Married,None,135000,Rural,Nissan,3,2.5,6000,0,4,1,22,High
30,F,Engineer,Divorced,PhD,95000,Suburban,Mercedes,2,1.5,6000,0,3,3,24,High
39,M,Student,Single,PhD,115000,Rural,Nissan,7,2.0,6000,3,0,0,13,Low
60,F,Lawyer,Single,Master,75000,Urban,Toyota,5,3.5,15000,3,1,0,6,High
32,M,Teacher,Divorced,PhD,65000,Urban,Nissan,6,2.5,10000,1,0,1,33,Medium
41,M,Teacher,Divorced,Bachelor,65000,Suburban,BMW,3,4.0,13000,3,3,1,34,High
39,F,Teacher,Divorced,None,75000,Suburban,Honda,6,2.0,10000,1,4,3,5,High
47,F,Doctor,Married,Master,75000,Urban,Mercedes,8,1.5,12000,2,2,3,33,High
37,F,Manager,Widowed,None,110000,Urban,Mercedes,2,3.5,10000,1,2,0,16,Medium
61,F,Lawyer,Single,None,25000,Urban,Mercedes,12,4.0,17000,0,3,3,28,High
51,M,Student,Divorced,Master,75000,Rural,Honda,1,4.0,7000,0,1,3,27,High
59,M,Lawyer,Divorced,PhD,85000,Suburban,Honda,3,1.5,19000,0,2,1,9,High
69,F,Artist,Single,None,100000,Suburban,Toyota,4,1.5,16000,1,1,3,3,High
37,F,Teacher,Single,PhD,35000,Rural,Honda,13,3.0,15000,1,4,3,9,High
68,F,Engineer,Single,PhD,20000,Suburban,Ford,4,1.5,15000,2,2,1,22,High
44,M,Manager,Married,Bachelor,125000,Suburban,Ford,9,2.5,15000,2,0,2,18,High
19,F,Architect,Single,Bachelor,115000,Rural,Nissan,4,3.0,17000,3,1,3,15,High
37,M,Doctor,Divorced,PhD,80000,Rural,Mercedes,13,1.5,11000,1,4,1,10,High
58,M,Manager,Married,Bachelor,100000,Suburban,Chevrolet,3,2.5,6000,0,2,2,1,High
68,F,Architect,Widowed,None,55000,Urban,Honda,9,1.5,7000,0,2,1,8,Medium
51,F,Architect,Single,None,85000,Suburban,Honda,4,2.5,13000,0,4,3,1,High
26,F,Architect,Divorced,Master,75000,Rural,Toyota,7,2.0,6000,3,1,1,39,Medium
38,F,Architect,Widowed,Bachelor,75000,Suburban,Audi,10,4.0,13000,0,0,2,36,High
39,F,Manager,Divorced,Bachelor,85000,Urban,Mercedes,10,3.0,10000,1,1,3,38,High
27,F,Student,Married,Bachelor,55000,Suburban,Chevrolet,7,4.0,9000,1,1,0,13,Low
46,F,Doctor,Divorced,Bachelor,130000,Urban,Ford,3,1.5,8000,3,0,3,4,High
58,F,Doctor,Divorced,Bachelor,120000,Rural,Tesla,3,1.5,15000,2,0,0,37,High
40,M,Engineer,Married,Bachelor,145000,Urban,Toyota,14,3.0,5000,3,2,1,9,High
40,F,Teacher,Single,PhD,90000,Suburban,Honda,1,3.0,7000,2,2,1,10,Medium
62,M,Teacher,Widowed,Master,40000,Suburban,Toyota,10,4.0,10000,1,2,2,2,High
60,M,Student,Divorced,Master,75000,Suburban,Audi,13,3.0,17000,3,3,1,13,High
40,M,Student,Divorced,None,65000,Suburban,Audi,14,4.0,17000,0,4,1,23,High
69,F,Doctor,Married,PhD,35000,Suburban,Chevrolet,1,1.5,8000,3,1,0,22,High
22,M,Student,Married,Bachelor,65000,Rural,Mercedes,10,3.0,15000,1,2,1,14,Medium
54,M,Manager,Single,None,70000,Rural,BMW,14,4.0,16000,3,2,0,22,High
32,F,Manager,Widowed,Bachelor,45000,Suburban,Honda,5,2.0,5000,1,0,1,18,Medium
68,F,Architect,Single,Master,105000,Suburban,Toyota,14,4.0,19000,0,2,3,26,High
48,F,Student,Single,Master,140000,Rural,BMW,14,4.0,11000,1,2,3,27,High
39,F,Teacher,Married,Bachelor,100000,Rural,Chevrolet,13,3.5,6000,0,0,1,3,High
59,M,Lawyer,Single,None,120000,Suburban,Tesla,12,2.0,7000,0,3,2,4,High
60,M,Manager,Single,Bachelor,130000,Rural,Toyota,8,3.5,17000,0,2,3,29,High
45,F,Architect,Married,PhD,110000,Urban,Honda,7,1.5,18000,0,0,3,28,High
25,F,Manager,Single,Master,120000,Rural,BMW,1,3.5,10000,2,0,3,18,High
48,M,Student,Single,Master,40000,Suburban,Chevrolet,8,3.0,17000,1,4,3,6,High
22,M,Doctor,Single,Bachelor,45000,Urban,Toyota,9,3.5,13000,2,1,2,19,High
29,M,Student,Divorced,Master,145000,Suburban,Toyota,5,4.0,17000,0,3,0,24,High
39,F,Architect,Widowed,Bachelor,130000,Urban,Nissan,10,2.5,9000,1,3,3,13,High
65,M,Retired,Single,None,105000,Urban,Audi,4,3.5,10000,1,4,3,22,High
66,M,Artist,Widowed,None,100000,Urban,Nissan,12,3.0,17000,1,2,3,16,High
69,F,Teacher,Widowed,PhD,75000,Rural,Ford,12,2.0,19000,2,0,0,21,High
69,M,Doctor,Divorced,Bachelor,70000,Rural,Chevrolet,1,2.5,7000,2,1,2,30,High
34,F,Doctor,Married,None,85000,Suburban,Tesla,14,3.0,16000,3,4,2,12,High
32,F,Artist,Widowed,Master,130000,Urban,Toyota,10,3.5,16000,0,1,0,20,Medium
41,M,Lawyer,Divorced,Bachelor,75000,Rural,Chevrolet,3,2.5,6000,3,4,2,31,High
39,F,Teacher,Married,Master,135000,Rural,Toyota,5,4.0,16000,3,4,1,24,High
24,M,Retired,Single,None,25000,Rural,BMW,14,2.0,11000,3,2,2,9,High
56,F,Student,Married,None,105000,Suburban,Ford,10,2.0,18000,0,1,1,26,High
19,F,Student,Divorced,PhD,145000,Urban,Mercedes,9,1.5,7000,2,1,0,35,Low
58,M,Teacher,Widowed,PhD,50000,Suburban,BMW,12,2.5,8000,2,1,1,18,High
59,M,Lawyer,Married,Bachelor,105000,Suburban,Audi,11,2.5,11000,3,1,0,33,High
69,M,Teacher,Single,PhD,110000,Urban,Honda,2,3.0,19000,2,3,1,35,High
27,M,Retired,Single,Bachelor,95000,Rural,Ford,14,3.0,15000,0,1,3,10,High
22,F,Artist,Widowed,PhD,90000,Suburban,BMW,7,2.0,11000,2,4,3,12,High
50,F,Teacher,Single,PhD,120000,Suburban,Mercedes,11,3.5,12000,1,0,1,8,Medium
25,M,Student,Married,PhD,25000,Suburban,Tesla,5,1.5,10000,3,3,0,9,High
37,M,Artist,Married,Master,30000,Urban,Honda,9,2.5,13000,3,0,3,13,High
23,M,Student,Single,PhD,70000,Rural,Tesla,5,3.0,15000,3,0,1,4,Medium
67,F,Teacher,Single,Bachelor,60000,Suburban,Chevrolet,7,4.0,12000,1,1,3,11,High
68,M,Teacher,Widowed,None,35000,Suburban,BMW,2,2.5,13000,2,1,0,2,High
28,M,Doctor,Married,Master,130000,Rural,Honda,9,3.5,15000,3,1,3,16,High
66,M,Retired,Married,Bachelor,90000,Rural,Tesla,10,4.0,10000,3,4,3,33,High
42,M,Lawyer,Widowed,Master,60000,Urban,Ford,2,3.5,12000,1,3,0,5,High
69,M,Architect,Widowed,None,90000,Suburban,Honda,11,2.5,6000,3,0,1,5,High
38,M,Student,Widowed,PhD,90000,Suburban,Ford,12,1.5,18000,3,3,0,4,High
34,M,Retired,Married,Bachelor,35000,Urban,Honda,4,3.5,5000,3,2,3,30,High
53,M,Doctor,Widowed,Master,85000,Urban,BMW,6,4.0,16000,3,0,2,28,High
29,F,Manager,Widowed,Bachelor,95000,Urban,Audi,8,3.0,6000,0,2,1,12,Medium
39,F,Artist,Widowed,PhD,135000,Urban,Chevrolet,6,1.5,15000,2,4,1,21,High
43,F,Teacher,Single,PhD,100000,Urban,Toyota,5,1.5,8000,2,3,3,30,High
37,M,Architect,Widowed,None,85000,Urban,Chevrolet,1,4.0,15000,3,1,1,2,Medium
68,F,Engineer,Widowed,Master,125000,Suburban,Mercedes,14,3.0,15000,1,2,3,22,High
41,M,Manager,Married,Bachelor,120000,Rural,Tesla,5,3.5,19000,2,1,1,10,High
34,M,Retired,Single,Bachelor,140000,Suburban,Toyota,9,4.0,6000,0,0,0,7,Low
28,M,Engineer,Married,Master,120000,Rural,Ford,14,4.0,12000,2,3,0,38,High
68,F,Artist,Married,Bachelor,60000,Urban,Chevrolet,9,2.0,15000,3,0,1,4,High
32,F,Student,Single,None,40000,Suburban,Honda,2,2.0,7000,3,2,2,23,High
34,M,Teacher,Divorced,None,35000,Urban,Ford,11,4.0,5000,3,0,0,16,Low
33,F,Manager,Married,PhD,115000,Rural,Tesla,14,1.5,10000,1,4,2,34,High
19,M,Teacher,Divorced,PhD,145000,Rural,Tesla,12,4.0,9000,3,1,0,11,High
66,M,Lawyer,Divorced,None,65000,Rural,Tesla,12,2.0,13000,1,2,2,23,High
32,F,Teacher,Single,None,120000,Urban,Mercedes,5,2.0,13000,1,1,1,6,Medium
61,F,Retired,Widowed,Master,40000,Rural,Tesla,13,3.5,9000,1,2,1,12,High
42,M,Artist,Single,None,105000,Suburban,Chevrolet,1,2.5,14000,2,1,0,36,Medium
44,F,Student,Divorced,Master,40000,Suburban,Mercedes,5,2.5,16000,0,3,3,30,High
58,M,Doctor,Single,PhD,75000,Rural,BMW,11,3.5,14000,1,2,3,17,High
37,F,Student,Divorced,None,145000,Urban,Mercedes,13,2.0,17000,1,3,2,22,High
24,M,Architect,Divorced,None,125000,Rural,Audi,6,3.0,14000,1,3,3,32,High
31,F,Student,Married,Master,140000,Urban,Nissan,14,1.5,15000,0,4,3,16,High
26,M,Manager,Divorced,Master,135000,Urban,Honda,11,3.0,5000,1,2,0,37,Low
19,F,Artist,Widowed,None,135000,Suburban,Toyota,4,4.0,15000,3,2,1,33,Medium
55,F,Artist,Divorced,Master,40000,Suburban,Honda,6,4.0,18000,1,0,0,18,High
44,F,Manager,Single,Master,110000,Urban,Ford,4,3.0,18000,2,4,0,21,High
64,F,Retired,Widowed,Master,80000,Suburban,Nissan,14,1.5,5000,1,0,0,21,High
41,M,Retired,Widowed,None,125000,Urban,Honda,5,2.0,12000,3,4,1,34,High
45,M,Manager,Widowed,Master,120000,Suburban,Honda,11,2.5,16000,2,3,2,6,High
21,F,Architect,Married,PhD,60000,Rural,Honda,6,2.0,12000,0,2,0,38,Low
59,M,Architect,Married,Master,115000,Suburban,Toyota,12,2.5,11000,2,2,0,16,High
24,M,Student,Widowed,None,130000,Urban,Audi,13,4.0,17000,3,0,2,9,High
45,M,Doctor,Widowed,None,100000,Suburban,Toyota,10,4.0,8000,3,0,0,17,Low
43,M,Retired,Divorced,PhD,135000,Rural,Nissan,5,2.0,10000,1,3,2,5,High
57,M,Teacher,Divorced,PhD,110000,Urban,BMW,2,2.0,13000,2,3,2,2,High
56,F,Architect,Married,Bachelor,60000,Rural,Nissan,1,2.5,11000,3,0,3,25,High
49,M,Architect,Widowed,PhD,110000,Urban,Nissan,6,1.5,8000,3,4,1,38,High
57,F,Teacher,Married,None,60000,Rural,Chevrolet,13,2.5,10000,3,2,1,25,High
37,F,Artist,Divorced,PhD,40000,Urban,Ford,4,2.5,10000,3,4,1,29,High
42,M,Artist,Divorced,Master,115000,Suburban,Audi,6,4.0,13000,3,0,0,6,Medium
43,F,Doctor,Single,None,120000,Urban,Audi,3,3.5,6000,3,1,2,15,High
41,M,Student,Single,Bachelor,95000,Urban,Nissan,12,3.5,9000,1,1,2,1,High
32,M,Teacher,Divorced,Master,110000,Rural,Mercedes,6,2.0,13000,1,3,0,28,High
61,M,Doctor,Single,PhD,100000,Urban,Toyota,13,3.0,8000,0,2,0,35,High
67,M,Artist,Widowed,Master,80000,Rural,Audi,6,2.5,7000,2,2,1,38,High
43,F,Retired,Single,None,100000,Rural,BMW,12,3.0,18000,0,3,2,18,High
29,F,Student,Widowed,Master,85000,Urban,BMW,12,2.5,17000,1,3,3,27,High
51,F,Manager,Married,Master,120000,Urban,BMW,10,3.5,18000,3,0,1,24,High
50,M,Manager,Single,Master,75000,Suburban,Ford,14,3.0,19000,1,1,1,6,High
21,F,Retired,Married,None,130000,Rural,Audi,13,2.5,16000,3,2,0,31,High
47,F,Manager,Single,None,135000,Rural,Ford,8,4.0,18000,1,3,3,9,High
30,M,Teacher,Married,PhD,65000,Suburban,Ford,10,3.0,10000,2,1,1,15,Medium
64,F,Teacher,Married,PhD,35000,Rural,Tesla,12,2.0,10000,1,2,2,33,High
60,F,Doctor,Single,Bachelor,125000,Urban,Tesla,10,2.0,12000,0,1,2,38,High
21,F,Student,Divorced,PhD,30000,Rural,Mercedes,9,1.5,13000,3,3,1,13,High
46,M,Manager,Married,None,25000,Urban,Nissan,14,3.0,18000,3,4,2,19,High
51,F,Artist,Widowed,None,35000,Rural,Toyota,3,1.5,17000,3,3,1,4,High
27,M,Doctor,Divorced,Master,35000,Rural,Toyota,2,1.5,7000,2,4,0,11,High
62,F,Teacher,Widowed,Master,30000,Rural,Tesla,2,4.0,5000,1,2,3,37,High
50,M,Architect,Widowed,Bachelor,60000,Urban,Tesla,5,4.0,12000,0,0,0,14,Low
31,M,Artist,Single,None,25000,Urban,Nissan,4,1.5,6000,2,0,1,25,Medium
46,F,Teacher,Widowed,None,75000,Rural,Mercedes,13,3.0,14000,2,3,0,1,High
56,M,Lawyer,Divorced,Bachelor,115000,Urban,Tesla,6,4.0,11000,1,2,1,6,Medium
47,F,Engineer,Married,PhD,135000,Suburban,Tesla,1,3.5,6000,2,0,2,37,High
44,F,Architect,Divorced,None,75000,Suburban,Chevrolet,1,3.0,16000,2,2,2,1,High
68,F,Doctor,Single,PhD,145000,Suburban,Mercedes,13,3.0,10000,0,3,2,22,High
53,M,Artist,Widowed,Bachelor,95000,Urban,Honda,3,2.0,13000,1,2,1,4,Medium
62,F,Artist,Single,Bachelor,50000,Suburban,Honda,11,2.0,12000,3,1,0,27,High
51,F,Teacher,Single,Bachelor,40000,Rural,Tesla,1,3.5,7000,2,1,1,11,Medium
67,F,Teacher,Widowed,Bachelor,35000,Suburban,Nissan,5,3.0,19000,0,2,0,1,High
20,F,Engineer,Widowed,Bachelor,95000,Suburban,Tesla,4,4.0,11000,0,1,2,28,High
25,M,Student,Widowed,None,135000,Rural,Tesla,7,2.0,15000,2,3,3,13,High
46,F,Lawyer,Single,Bachelor,55000,Rural,Tesla,14,4.0,14000,3,4,2,22,High
47,M,Artist,Single,PhD,30000,Urban,BMW,1,2.0,11000,3,4,1,35,High
38,F,Lawyer,Single,None,115000,Suburban,Nissan,1,2.0,17000,2,4,2,16,High
65,M,Engineer,Divorced,PhD,60000,Urban,BMW,11,4.0,11000,1,2,0,34,Low
36,M,Teacher,Single,Bachelor,65000,Urban,Ford,2,4.0,19000,3,3,3,33,High
28,M,Student,Single,PhD,110000,Rural,BMW,3,2.0,13000,0,0,1,1,Medium
61,F,Doctor,Divorced,Master,25000,Rural,Nissan,9,2.5,17000,0,2,0,23,Medium
26,F,Doctor,Married,PhD,25000,Urban,Chevrolet,2,1.5,5000,0,1,2,1,High
66,F,Teacher,Married,Master,130000,Suburban,Chevrolet,3,3.0,5000,0,2,0,30,Low
31,F,Artist,Widowed,Bachelor,120000,Rural,Mercedes,14,3.5,5000,3,4,0,1,High
40,F,Manager,Single,PhD,145000,Suburban,Ford,9,3.0,6000,1,0,3,25,High
50,F,Manager,Married,None,140000,Suburban,Toyota,14,4.0,14000,3,1,1,17,High
56,F,Architect,Married,Bachelor,85000,Rural,Toyota,13,3.5,15000,0,1,1,34,High
49,F,Lawyer,Widowed,Bachelor,105000,Rural,Tesla,10,2.5,5000,3,4,3,24,High
38,M,Manager,Married,PhD,50000,Rural,Ford,7,4.0,8000,2,0,2,21,High
27,M,Student,Widowed,Bachelor,90000,Rural,Toyota,12,1.5,6000,2,0,3,1,High
40,F,Artist,Married,Master,30000,Rural,Mercedes,7,4.0,13000,1,0,1,22,Medium
68,M,Engineer,Widowed,PhD,35000,Suburban,Toyota,10,2.5,7000,2,4,3,15,High
61,M,Artist,Married,Master,130000,Suburban,Honda,8,2.5,17000,0,4,2,38,High
56,M,Artist,Married,None,60000,Suburban,Ford,5,4.0,18000,1,1,2,20,High
44,M,Teacher,Single,Bachelor,95000,Urban,BMW,9,1.5,16000,3,0,2,8,High
41,M,Lawyer,Married,None,60000,Rural,Mercedes,8,4.0,7000,2,2,2,29,High
44,F,Student,Divorced,PhD,65000,Rural,Tesla,10,4.0,19000,1,1,2,1,High
59,F,Manager,Single,None,105000,Urban,BMW,14,4.0,18000,0,3,0,14,High
38,M,Doctor,Single,Master,120000,Urban,Toyota,6,2.5,6000,3,1,3,4,High
66,F,Teacher,Divorced,Master,80000,Rural,Audi,6,4.0,18000,0,4,2,18,High
62,F,Manager,Married,None,70000,Urban,Nissan,8,3.5,9000,3,0,3,10,High
56,M,Doctor,Single,Master,25000,Suburban,Audi,3,3.0,11000,2,0,0,6,High
68,M,Manager,Divorced,Bachelor,30000,Suburban,Tesla,13,4.0,6000,1,4,2,28,High
62,F,Student,Divorced,Bachelor,140000,Rural,Audi,1,3.0,6000,2,2,3,32,High
27,M,Engineer,Single,Master,105000,Rural,Toyota,14,3.5,18000,2,3,2,12,High
25,F,Teacher,Widowed,PhD,50000,Urban,Mercedes,4,1.5,16000,0,0,0,25,Low
46,F,Artist,Single,PhD,90000,Suburban,Ford,10,2.5,6000,2,3,0,36,High
51,F,Doctor,Widowed,PhD,140000,Rural,Nissan,11,3.0,8000,1,4,0,23,High
45,F,Retired,Divorced,PhD,65000,Rural,Audi,10,2.5,18000,3,2,3,9,High
27,M,Lawyer,Married,Master,135000,Urban,Nissan,14,3.0,11000,2,4,0,21,High
25,M,Student,Divorced,None,70000,Suburban,Mercedes,14,4.0,13000,0,0,0,36,High
20,M,Doctor,Single,PhD,20000,Rural,Mercedes,9,1.5,15000,2,1,2,12,High
57,M,Student,Single,PhD,140000,Urban,Tesla,11,1.5,10000,0,4,1,23,High
65,M,Teacher,Single,None,25000,Suburban,Mercedes,9,3.0,15000,3,0,0,39,High
50,F,Student,Divorced,None,40000,Suburban,Nissan,14,2.0,16000,2,1,0,36,High
25,F,Teacher,Divorced,Master,110000,Urban,Honda,10,3.0,11000,1,4,1,39,High
45,F,Teacher,Divorced,PhD,35000,Suburban,Honda,12,2.0,15000,2,0,1,22,High
62,M,Artist,Divorced,None,50000,Urban,Honda,4,3.0,14000,2,1,2,8,High
63,F,Doctor,Single,Bachelor,95000,Suburban,Chevrolet,9,3.5,10000,3,0,0,13,High
49,F,Retired,Widowed,Master,110000,Suburban,Audi,6,1.5,6000,0,3,2,19,High
53,F,Lawyer,Divorced,None,125000,Urban,Tesla,10,2.5,19000,0,2,1,26,High
63,F,Retired,Single,Master,100000,Suburban,Honda,9,2.0,9000,2,0,0,6,High
28,M,Artist,Divorced,PhD,140000,Suburban,Honda,6,2.5,14000,1,4,1,18,High
66,F,Teacher,Divorced,PhD,135000,Urban,Ford,13,2.5,6000,1,0,1,3,High
28,M,Doctor,Single,Bachelor,20000,Suburban,BMW,10,4.0,18000,1,1,0,25,High
39,F,Manager,Widowed,PhD,60000,Suburban,Ford,9,3.0,7000,2,2,0,18,Medium
67,F,Lawyer,Married,None,115000,Rural,Mercedes,12,2.0,10000,2,4,2,34,High
23,F,Student,Married,PhD,130000,Urban,Ford,14,3.5,7000,3,3,1,10,High
33,F,Architect,Single,PhD,85000,Rural,Honda,4,3.5,6000,3,4,2,6,High
39,M,Lawyer,Married,Master,100000,Urban,Ford,1,4.0,11000,2,0,0,12,Medium
25,M,Manager,Married,Bachelor,85000,Rural,Chevrolet,12,3.5,12000,1,2,3,28,High
27,F,Architect,Single,PhD,40000,Rural,Tesla,7,2.5,7000,0,2,2,17,High
54,F,Engineer,Widowed,Bachelor,40000,Rural,Chevrolet,7,2.5,11000,3,2,1,25,Medium
37,F,Artist,Married,PhD,50000,Rural,Toyota,10,3.5,17000,2,4,1,8,High
65,F,Lawyer,Widowed,PhD,65000,Rural,Toyota,13,4.0,18000,2,1,1,32,High
47,M,Engineer,Divorced,Master,20000,Rural,Honda,3,4.0,14000,3,1,0,14,Low
22,M,Engineer,Single,Bachelor,30000,Rural,BMW,4,2.5,8000,3,3,1,20,High
42,F,Student,Divorced,PhD,60000,Suburban,Ford,2,3.5,18000,0,1,2,23,High
49,M,Manager,Single,Master,40000,Urban,Tesla,2,4.0,14000,2,0,3,9,High
35,F,Student,Divorced,PhD,65000,Rural,Mercedes,1,3.0,7000,1,4,3,12,High
68,F,Student,Divorced,None,50000,Urban,Nissan,7,3.5,14000,2,0,2,13,High
47,F,Lawyer,Single,None,35000,Suburban,Chevrolet,14,3.5,18000,3,3,0,30,High
34,M,Student,Married,None,110000,Suburban,Nissan,3,4.0,5000,3,0,2,37,High
33,F,Teacher,Single,Master,40000,Urban,Audi,12,3.5,16000,2,0,2,9,High
48,F,Engineer,Single,None,45000,Suburban,Audi,7,1.5,19000,1,0,2,14,High
22,M,Manager,Divorced,Bachelor,135000,Rural,Ford,11,2.5,13000,3,3,2,26,High
30,F,Doctor,Married,Bachelor,30000,Suburban,Toyota,14,4.0,13000,3,0,0,23,High
25,M,Student,Married,Bachelor,135000,Urban,BMW,2,3.0,14000,2,4,1,35,High
20,F,Student,Divorced,Bachelor,145000,Rural,Mercedes,12,4.0,8000,1,4,2,10,High
49,F,Lawyer,Divorced,Bachelor,110000,Rural,Tesla,2,3.0,18000,0,4,2,2,High
18,M,Lawyer,Married,Master,40000,Urban,Toyota,10,4.0,9000,1,2,1,25,Medium
59,M,Lawyer,Widowed,PhD,45000,Rural,BMW,13,2.5,7000,2,1,1,10,High
47,M,Retired,Divorced,Bachelor,120000,Rural,Mercedes,12,3.5,15000,1,3,0,19,High
39,F,Doctor,Widowed,Master,105000,Urban,Mercedes,7,1.5,8000,0,2,2,27,High
42,F,Manager,Married,Master,110000,Urban,Chevrolet,4,2.5,9000,1,2,1,7,Medium
19,F,Artist,Divorced,Master,145000,Urban,Mercedes,14,2.0,8000,1,2,0,32,High
23,M,Doctor,Single,PhD,35000,Rural,Toyota,14,1.5,6000,0,1,0,22,High
54,M,Lawyer,Widowed,PhD,115000,Urban,Honda,12,2.0,18000,1,4,2,1,High
40,F,Doctor,Married,PhD,20000,Suburban,BMW,12,2.0,5000,2,1,0,16,High
29,M,Teacher,Married,Master,110000,Suburban,Toyota,1,3.5,9000,0,1,2,33,High
65,F,Student,Single,PhD,30000,Rural,Ford,6,3.0,16000,1,1,2,38,High
23,M,Doctor,Widowed,Master,105000,Rural,Honda,3,2.0,10000,3,4,1,17,High
63,M,Manager,Married,PhD,95000,Rural,Nissan,3,3.0,13000,3,3,0,36,High
40,F,Student,Divorced,PhD,125000,Suburban,Audi,11,1.5,18000,2,2,2,37,High
60,F,Artist,Divorced,Master,95000,Rural,BMW,10,2.5,9000,3,4,3,16,High
49,M,Doctor,Single,None,105000,Rural,Toyota,4,3.0,15000,3,3,1,36,High
37,F,Artist,Single,PhD,145000,Suburban,Chevrolet,14,2.5,11000,2,3,3,36,High
54,F,Student,Married,Master,50000,Urban,Toyota,13,2.0,12000,3,3,3,28,High
69,M,Doctor,Divorced,PhD,50000,Rural,Nissan,11,1.5,9000,3,2,1,10,High
44,M,Engineer,Single,Master,85000,Urban,Nissan,6,4.0,17000,1,3,2,34,High
35,F,Engineer,Single,None,70000,Rural,Audi,3,2.0,17000,2,2,0,17,Medium
40,F,Artist,Widowed,None,35000,Rural,Audi,10,2.0,15000,3,2,0,22,Medium
