name,age,gender,occupation,marital_status,education_level,annual_income,residential_location,vehicle_make,vehicle_age,engine_size,mileage_driven_annually,accident_history,traffic_violations,claims_history,license_duration
JPRTO,34,F,Architect,Divorced,PhD,115000,Rural,BMW,1,3.5,9000,3,1,0,35
JHMVX,30,M,Retired,Married,Master,125000,Suburban,BMW,12,4,14000,3,0,1,1
VLQSA,44,F,Engineer,Widowed,PhD,35000,Suburban,Nissan,10,3,5000,0,1,3,3
NPNXF,42,M,Teacher,Widowed,Bachelor,55000,Rural,Nissan,5,2,6000,3,0,2,9
VYEZB,52,M,Teacher,Single,None,50000,Urban,Honda,10,2,6000,2,3,3,30
RXNFZ,34,F,Architect,Married,None,80000,Suburban,Nissan,14,3,10000,2,0,2,39
OECNG,49,F,Lawyer,Divorced,PhD,65000,Suburban,Nissan,4,4,11000,1,2,3,23
MWZVE,42,F,Student,Widowed,None,80000,Suburban,BMW,6,2.5,5000,3,2,0,39
WJRLM,34,F,Lawyer,Married,None,135000,Urban,Mercedes,11,3,12000,0,0,1,19
ELJOH,69,F,Architect,Married,PhD,75000,Urban,Chevrolet,13,4,6000,1,1,3,21
PCRVS,54,F,Retired,Married,None,115000,Rural,Chevrolet,12,4,11000,2,1,0,32
WGPUH,65,M,Artist,Married,PhD,80000,Urban,Toyota,3,3,17000,1,1,0,31
QMAOU,18,F,Engineer,Divorced,Master,80000,Suburban,Ford,2,4,19000,1,3,1,16
UCLWH,63,M,Doctor,Widowed,None,115000,Suburban,Toyota,14,2,6000,1,3,2,17
XFFYB,33,F,Doctor,Married,PhD,90000,Rural,Ford,11,2,16000,1,1,0,26
QKDHA,40,F,Retired,Single,PhD,45000,Suburban,Ford,12,3.5,18000,2,4,2,12
YOSZB,21,F,Doctor,Single,Master,35000,Suburban,Tesla,7,2,14000,0,0,0,5
ZMALI,42,F,Teacher,Widowed,Master,20000,Urban,Toyota,9,4,7000,0,2,0,10
PQDVN,60,M,Engineer,Divorced,PhD,140000,Urban,Mercedes,3,3,5000,0,4,2,3
CIPZB,65,M,Doctor,Married,None,115000,Rural,Chevrolet,8,2,14000,0,3,2,29
IXHAY,25,F,Doctor,Divorced,None,135000,Urban,Nissan,5,2,10000,1,3,0,21
ERMDM,45,F,Retired,Single,Bachelor,130000,Urban,Tesla,2,3.5,5000,3,3,3,1
QQRPB,41,F,Engineer,Married,None,135000,Urban,Honda,9,4,15000,3,1,1,20
EZLHO,40,F,Artist,Single,PhD,35000,Urban,Toyota,2,3.5,12000,0,1,2,28
ETFOS,28,F,Manager,Divorced,Master,135000,Rural,Nissan,7,3.5,12000,2,4,2,9
NBSEL,35,F,Manager,Married,Bachelor,140000,Suburban,BMW,4,2,10000,0,0,2,23
AVZZD,52,F,Manager,Married,PhD,115000,Suburban,Tesla,9,2,14000,2,4,2,36
PBZZO,42,F,Manager,Married,None,80000,Urban,Chevrolet,6,1.5,14000,3,1,3,23
ITUGU,50,F,Architect,Single,Master,120000,Suburban,Audi,14,4,19000,3,2,0,34
KVNPO,35,F,Manager,Widowed,Master,140000,Urban,Mercedes,2,3,10000,0,0,0,38
XUITE,29,F,Architect,Divorced,Bachelor,145000,Urban,Ford,11,3,13000,3,3,2,7
DJFZL,25,F,Architect,Married,None,40000,Urban,Chevrolet,14,2.5,18000,3,0,1,30
OPDUX,61,F,Engineer,Single,None,110000,Urban,Tesla,5,3,6000,2,1,1,20
HOVDN,33,F,Artist,Married,Master,110000,Suburban,Nissan,4,3,7000,1,2,1,24
BRWCJ,36,F,Engineer,Widowed,PhD,25000,Urban,Tesla,7,2.5,16000,2,4,0,4
COXAE,38,F,Architect,Single,PhD,70000,Urban,BMW,9,2,12000,0,1,3,6
NCJGY,38,F,Retired,Married,Master,95000,Suburban,Chevrolet,7,3.5,14000,1,2,0,37
BJMKN,53,M,Manager,Married,None,85000,Suburban,BMW,9,3.5,15000,2,3,1,4
EQXUJ,29,M,Architect,Widowed,Master,120000,Rural,Toyota,4,2,16000,0,4,1,36
EXOYT,65,M,Lawyer,Married,Bachelor,25000,Suburban,Honda,11,3,10000,0,4,2,15
VBHJG,56,M,Manager,Married,Bachelor,75000,Rural,Nissan,10,3.5,16000,2,2,3,12
VVEMS,19,M,Student,Single,Bachelor,100000,Urban,Mercedes,10,2.5,14000,1,0,1,36
CEGBY,44,M,Lawyer,Widowed,Bachelor,90000,Rural,Toyota,13,4,11000,1,3,0,15
LFXRQ,62,F,Architect,Married,PhD,65000,Rural,Mercedes,6,2,11000,1,3,3,7
ESILP,33,M,Artist,Widowed,Master,80000,Rural,Ford,10,4,15000,3,4,2,32
RCOYH,46,F,Retired,Divorced,None,65000,Suburban,Chevrolet,11,1.5,5000,1,1,1,10
HDASU,22,F,Student,Widowed,PhD,35000,Urban,Audi,12,2,19000,3,4,3,37
KCCVH,60,F,Doctor,Single,PhD,135000,Suburban,Mercedes,12,1.5,13000,2,2,0,35
ITCRL,18,F,Student,Divorced,None,30000,Urban,Mercedes,7,4,16000,2,1,1,13
EHQLL,33,F,Student,Married,PhD,30000,Rural,BMW,9,3.5,5000,3,2,2,7
IAQZK,66,M,Engineer,Single,None,25000,Suburban,Mercedes,8,3.5,10000,3,4,0,21
QJNLW,62,F,Teacher,Married,PhD,30000,Rural,Toyota,7,3,19000,1,1,3,23
LYKWF,36,M,Engineer,Single,Master,30000,Suburban,Chevrolet,12,2,6000,2,3,3,11
HARMZ,68,F,Retired,Married,None,125000,Suburban,Audi,2,3,13000,1,4,0,36
OOPQZ,63,M,Engineer,Widowed,PhD,90000,Suburban,Honda,1,2.5,16000,3,3,2,23
GLNZX,34,M,Doctor,Widowed,Bachelor,40000,Rural,Nissan,2,3.5,9000,2,4,1,15
PBQNU,45,M,Manager,Single,Master,110000,Rural,Audi,13,3,7000,0,1,1,3
BLKJG,42,F,Engineer,Widowed,None,135000,Rural,Mercedes,1,3.5,13000,2,3,3,10
HQZKI,40,F,Architect,Married,None,95000,Suburban,Tesla,10,4,13000,3,1,0,19
ZUTTO,36,F,Artist,Married,Master,145000,Suburban,Toyota,8,2.5,13000,0,2,2,35
FTUYQ,65,M,Student,Married,PhD,90000,Suburban,BMW,5,4,13000,3,2,3,8
ESFED,29,F,Engineer,Widowed,None,20000,Rural,Chevrolet,12,2.5,17000,2,4,3,32
BFXGL,40,F,Doctor,Divorced,Bachelor,35000,Rural,Tesla,1,2.5,10000,3,3,2,30
XJBIC,47,M,Manager,Widowed,Bachelor,105000,Rural,Toyota,3,1.5,15000,2,1,2,8
HQUJG,62,M,Manager,Married,Bachelor,70000,Rural,Nissan,9,1.5,7000,1,1,2,31
WGGYC,69,F,Lawyer,Widowed,Bachelor,50000,Suburban,Mercedes,7,3.5,18000,2,0,0,28
MYTPH,57,M,Architect,Widowed,PhD,135000,Rural,Tesla,5,3,6000,0,0,3,1
STAVR,37,F,Doctor,Widowed,PhD,20000,Rural,Mercedes,7,2.5,15000,2,0,3,12
FPFVK,36,M,Manager,Widowed,Master,55000,Urban,Ford,1,2.5,18000,1,3,1,6
BDDGQ,60,F,Teacher,Single,None,130000,Suburban,Mercedes,11,2,13000,3,2,3,33
EJCOX,39,M,Engineer,Divorced,None,145000,Rural,Audi,11,1.5,19000,0,1,2,2
ZQDUI,34,F,Engineer,Divorced,Master,55000,Rural,Mercedes,12,2,19000,2,1,1,18
GYOSM,45,F,Retired,Widowed,PhD,75000,Rural,Toyota,4,2.5,9000,1,4,1,24
IZOHU,48,M,Engineer,Divorced,PhD,65000,Suburban,Ford,14,3.5,13000,2,3,1,3
MNLWO,45,F,Teacher,Married,PhD,115000,Rural,Nissan,11,3.5,12000,1,0,2,16
ZVOES,65,M,Doctor,Married,PhD,65000,Rural,Audi,3,3.5,5000,3,2,1,19
EYYXP,61,F,Artist,Married,PhD,55000,Urban,Chevrolet,8,1.5,16000,3,3,2,22
KMVAJ,20,M,Manager,Divorced,Master,35000,Suburban,Audi,9,2.5,11000,1,0,2,7
FMHWP,68,M,Retired,Widowed,Bachelor,55000,Rural,Toyota,2,3.5,12000,0,1,2,31
GAAND,46,M,Student,Married,Bachelor,85000,Urban,Ford,5,3,19000,1,4,1,19
HCOKX,36,F,Doctor,Single,Bachelor,20000,Rural,Ford,11,1.5,9000,0,3,0,15
QEJEA,36,F,Lawyer,Divorced,None,70000,Urban,Nissan,10,2.5,12000,2,1,3,13
EDWXU,40,F,Teacher,Divorced,PhD,50000,Suburban,Toyota,1,2,18000,3,2,1,18
SJMTQ,18,M,Teacher,Divorced,Bachelor,130000,Suburban,Chevrolet,6,2,11000,2,1,1,23
IJMDJ,38,M,Student,Widowed,Bachelor,25000,Suburban,Audi,6,3,16000,3,0,2,30
TGPYA,37,F,Student,Widowed,Bachelor,110000,Suburban,Honda,3,3.5,6000,2,0,1,9
EHHTZ,27,M,Lawyer,Divorced,PhD,110000,Suburban,Mercedes,13,2,6000,2,3,1,4
CESHO,47,M,Architect,Single,PhD,130000,Suburban,Honda,2,4,10000,1,0,2,22
UDIRX,40,F,Doctor,Married,Master,70000,Urban,Ford,6,2.5,14000,0,0,3,24
XBFTY,34,F,Lawyer,Widowed,Master,105000,Rural,Toyota,8,2.5,5000,2,0,0,15
JDCMT,48,F,Teacher,Single,Master,85000,Urban,Toyota,14,3.5,13000,3,0,0,2
BJVXR,25,F,Engineer,Single,PhD,75000,Suburban,Toyota,9,2,9000,1,1,2,34
MOBWV,49,M,Engineer,Single,None,60000,Rural,Audi,5,2.5,11000,3,4,0,2
XCRNW,23,M,Student,Divorced,PhD,55000,Suburban,Toyota,8,1.5,17000,3,2,2,10
REEMQ,33,M,Student,Married,PhD,25000,Suburban,Mercedes,9,3,15000,0,1,3,36
GCFZQ,61,M,Doctor,Married,Master,120000,Rural,Chevrolet,4,1.5,14000,0,0,1,18
JODNX,67,F,Teacher,Single,Bachelor,130000,Urban,Nissan,13,3,9000,3,1,2,38
TFTPY,46,M,Manager,Single,Bachelor,130000,Rural,Chevrolet,12,2.5,6000,1,2,0,35
UVDHY,38,M,Teacher,Widowed,Master,140000,Suburban,Mercedes,12,3,12000,3,2,0,11
DCTPX,68,F,Student,Divorced,PhD,65000,Suburban,Toyota,5,1.5,5000,3,0,0,17
UBPWU,21,M,Teacher,Widowed,PhD,105000,Urban,Toyota,5,2,19000,0,1,0,17
ROCFM,50,M,Lawyer,Single,Master,140000,Suburban,Ford,12,3,7000,3,0,1,3
FKNKU,34,M,Artist,Divorced,Master,110000,Suburban,Honda,3,1.5,13000,0,4,0,38
IQJRJ,34,F,Teacher,Divorced,PhD,70000,Urban,Toyota,3,1.5,10000,3,4,0,8
EAHBU,35,M,Manager,Widowed,Master,100000,Rural,Tesla,11,2.5,5000,1,2,3,35
RDWAA,56,M,Student,Divorced,Master,30000,Urban,Ford,4,3,10000,0,3,0,22
OIOFS,49,F,Retired,Married,PhD,110000,Urban,Audi,14,2,15000,1,1,2,10
EJMCR,67,F,Teacher,Single,None,130000,Urban,Ford,2,3,10000,1,0,0,5
LOLNJ,23,F,Engineer,Widowed,PhD,25000,Rural,Toyota,2,4,6000,0,3,3,5
COLXR,54,M,Teacher,Widowed,None,100000,Urban,Chevrolet,1,3,18000,1,4,0,8
CKMSR,33,M,Architect,Divorced,Bachelor,95000,Rural,Nissan,5,2.5,12000,2,2,1,10
NVZBT,32,M,Engineer,Divorced,Bachelor,95000,Rural,Honda,3,4,14000,2,4,0,23
YNGGO,54,M,Teacher,Single,PhD,75000,Urban,Ford,9,3.5,16000,3,3,3,9
REYHQ,50,M,Manager,Divorced,None,55000,Rural,Tesla,2,3.5,14000,2,3,3,9
HVVLD,52,M,Doctor,Widowed,Bachelor,105000,Suburban,Nissan,9,4,19000,0,1,3,26
HLLJL,33,M,Engineer,Widowed,PhD,75000,Suburban,Nissan,13,2.5,8000,2,3,2,25
KTDDP,23,F,Engineer,Married,Master,20000,Urban,Audi,9,4,14000,0,4,3,11
SRXRY,56,M,Architect,Widowed,None,40000,Rural,Honda,11,2,19000,1,2,1,24
SOOWM,27,M,Retired,Divorced,Bachelor,55000,Rural,Nissan,6,2,16000,0,2,3,5
WXGXG,28,F,Engineer,Married,Bachelor,55000,Suburban,Honda,3,4,19000,1,2,2,26
ZUCGI,38,F,Student,Widowed,PhD,30000,Suburban,Honda,4,3,12000,2,0,2,21
BJMUT,23,M,Artist,Widowed,Master,30000,Rural,Nissan,6,3,13000,2,1,3,19
BWYXO,69,F,Doctor,Widowed,None,20000,Suburban,BMW,2,2.5,14000,1,0,1,22
BKRMK,62,M,Lawyer,Divorced,Master,85000,Rural,Ford,7,4,16000,3,2,1,27
UUBUW,40,M,Manager,Married,Bachelor,135000,Suburban,Honda,12,2.5,10000,1,3,2,25
JRNEV,23,F,Architect,Single,Master,25000,Suburban,Toyota,3,1.5,16000,2,4,1,27
ZGJSB,30,M,Lawyer,Married,Bachelor,90000,Rural,BMW,2,2.5,17000,3,4,1,32
KVPYG,57,F,Lawyer,Married,Bachelor,90000,Rural,Tesla,2,3.5,13000,2,4,0,7
RQZQK,22,M,Retired,Divorced,None,85000,Rural,Toyota,8,2,13000,3,4,2,18
BFSSP,56,M,Architect,Widowed,Bachelor,75000,Rural,Audi,9,1.5,6000,3,1,1,33
ZWGGX,44,M,Architect,Divorced,Bachelor,105000,Suburban,Ford,8,2.5,11000,3,4,3,11
RMQHH,29,M,Retired,Married,None,95000,Urban,BMW,14,3.5,5000,3,4,1,12
UOYYF,36,M,Architect,Divorced,PhD,80000,Rural,Nissan,7,3.5,9000,0,3,0,20
KKNWY,67,M,Teacher,Widowed,PhD,145000,Urban,Ford,2,1.5,16000,1,0,2,20
EBZTW,38,F,Artist,Married,None,50000,Urban,Tesla,11,2,5000,2,1,1,14
SDGZG,36,M,Doctor,Married,Bachelor,45000,Suburban,Toyota,4,3,16000,3,1,0,26
HLSJN,22,F,Doctor,Single,Bachelor,60000,Rural,Ford,1,3,19000,0,2,1,30
XUMUX,41,M,Engineer,Divorced,None,85000,Rural,Ford,14,4,9000,0,0,0,8
ECASS,49,M,Architect,Married,Bachelor,90000,Urban,Mercedes,6,2.5,12000,1,1,0,25
OLURS,34,M,Architect,Single,Bachelor,125000,Suburban,Nissan,13,2.5,5000,3,4,3,35
EKCRU,22,F,Lawyer,Single,Bachelor,100000,Rural,Ford,2,2.5,16000,3,0,2,11
PZABW,27,F,Teacher,Married,Master,100000,Suburban,Toyota,3,2,5000,0,2,0,3
UCPJB,41,M,Manager,Single,Bachelor,45000,Suburban,Chevrolet,10,3.5,7000,2,2,1,10
TNPDT,51,F,Architect,Widowed,Bachelor,125000,Rural,Chevrolet,5,2,13000,1,4,1,11
ABCOI,27,F,Manager,Married,None,25000,Urban,Mercedes,9,4,19000,3,4,0,29
LVPOT,33,M,Teacher,Single,Bachelor,25000,Rural,Mercedes,8,3,6000,2,4,3,39
FBDJQ,40,F,Artist,Divorced,Master,115000,Urban,Tesla,2,4,18000,2,2,1,28
YGAUS,49,F,Architect,Single,PhD,100000,Urban,Audi,6,4,18000,0,3,0,8
ABRKN,24,M,Engineer,Divorced,Master,130000,Suburban,Nissan,12,3,7000,0,4,1,5
APAUK,67,M,Doctor,Married,Master,120000,Rural,BMW,13,3,13000,3,0,0,16
CXQRE,48,F,Artist,Married,None,115000,Rural,Audi,5,3,14000,2,0,2,2
BQWRF,60,F,Lawyer,Single,None,125000,Suburban,Ford,4,3.5,5000,3,3,3,27
WRHIA,68,M,Engineer,Married,Master,20000,Rural,Mercedes,12,2.5,6000,2,1,3,39
RBIFB,28,F,Student,Widowed,Master,105000,Suburban,Chevrolet,14,2.5,16000,0,4,2,8
EHKQW,34,M,Teacher,Divorced,PhD,130000,Urban,Honda,7,3,8000,2,0,1,18
HOPYV,65,M,Artist,Married,PhD,90000,Rural,Nissan,12,2,15000,0,1,0,9
BSMJA,23,F,Doctor,Divorced,PhD,85000,Rural,Chevrolet,6,1.5,17000,1,3,1,11
JHRQS,65,M,Manager,Divorced,Bachelor,105000,Rural,Honda,10,1.5,7000,3,2,3,34
COEEU,60,F,Doctor,Married,PhD,60000,Urban,BMW,13,3,13000,2,1,3,20
OSSJE,27,F,Lawyer,Divorced,PhD,145000,Urban,Chevrolet,10,3.5,11000,3,3,3,24
YQVOE,48,F,Doctor,Widowed,Master,70000,Rural,Nissan,7,3,7000,3,4,1,23
LTOGV,41,M,Architect,Single,Master,145000,Urban,Ford,3,4,14000,1,3,2,35
OAGMP,51,F,Retired,Widowed,None,40000,Suburban,Honda,7,1.5,11000,1,3,1,6
VFXMR,45,M,Architect,Married,PhD,55000,Urban,Ford,3,1.5,9000,3,3,0,30
OPKEA,30,M,Architect,Single,Bachelor,100000,Rural,Honda,1,2.5,5000,3,3,2,37
SCJQA,35,F,Lawyer,Widowed,Master,75000,Suburban,Nissan,6,1.5,17000,1,3,3,7
KYNJV,64,F,Teacher,Single,Master,145000,Rural,Audi,10,2,14000,3,3,0,37
HLIVF,33,F,Engineer,Single,Bachelor,25000,Urban,Chevrolet,5,2.5,9000,2,3,3,14
WOBYH,68,M,Retired,Divorced,None,50000,Suburban,BMW,12,1.5,12000,2,4,0,11
BGYSU,24,M,Lawyer,Married,None,30000,Suburban,Ford,10,3,9000,3,1,0,2
HGWDO,22,M,Student,Divorced,Bachelor,50000,Urban,Chevrolet,6,2.5,12000,1,3,2,31
HCJLX,68,F,Manager,Divorced,Master,120000,Urban,Tesla,12,2,15000,0,1,3,1
OVRAE,62,F,Retired,Widowed,Master,145000,Rural,Honda,2,1.5,16000,3,2,3,28
BAAMO,19,M,Manager,Single,None,120000,Suburban,Mercedes,14,2,18000,3,2,2,16
GPSHM,57,M,Teacher,Married,None,85000,Rural,Honda,6,1.5,11000,2,4,0,26
ALQES,19,M,Artist,Divorced,Bachelor,45000,Urban,Nissan,7,3,14000,1,1,1,37
ZBAWE,47,M,Retired,Single,None,45000,Urban,Chevrolet,11,2,18000,3,3,1,7
RACRC,47,M,Doctor,Married,Bachelor,105000,Rural,Nissan,2,3.5,19000,2,0,2,9
VDQRB,55,F,Manager,Single,PhD,80000,Suburban,Ford,12,2,8000,2,3,0,28
ANCAO,56,F,Manager,Widowed,None,125000,Urban,Mercedes,6,4,5000,3,4,1,8
GZKCW,31,M,Manager,Widowed,None,35000,Rural,Mercedes,13,3,11000,1,2,2,12
AJRNB,54,F,Lawyer,Widowed,PhD,95000,Urban,Toyota,14,3,17000,3,2,1,14
XDYWK,46,F,Engineer,Divorced,Bachelor,125000,Suburban,Chevrolet,13,4,7000,0,0,1,32
CKMAG,62,M,Teacher,Divorced,Bachelor,100000,Suburban,Toyota,8,3.5,17000,0,3,3,18
BTOLR,46,F,Teacher,Widowed,Master,110000,Suburban,Audi,5,3.5,14000,3,3,2,14
HOJKK,25,F,Lawyer,Married,None,70000,Rural,Audi,6,2,19000,2,0,0,22
QWSRU,49,F,Lawyer,Divorced,Bachelor,135000,Suburban,Chevrolet,4,3,8000,1,2,3,22
QUTST,27,M,Manager,Widowed,Bachelor,70000,Suburban,Chevrolet,5,3,13000,3,2,3,27
QEMEP,22,F,Retired,Divorced,None,100000,Rural,Tesla,5,4,14000,2,2,2,39
OPUOU,31,F,Engineer,Divorced,PhD,80000,Urban,BMW,7,3,9000,2,1,1,3
SHWSD,50,M,Student,Widowed,Master,35000,Rural,Honda,9,3.5,18000,1,0,1,22
DCUXH,53,F,Artist,Divorced,PhD,20000,Rural,Ford,10,4,5000,2,0,3,33
UYKNF,48,M,Artist,Divorced,Bachelor,75000,Rural,Ford,13,1.5,19000,0,1,1,20
WVHHA,67,M,Architect,Married,Bachelor,80000,Urban,Honda,12,2,8000,2,0,0,22
FJLFN,33,F,Artist,Single,Bachelor,75000,Suburban,Honda,9,2,9000,1,1,2,10
NYZYV,38,M,Doctor,Divorced,None,85000,Urban,Mercedes,3,2.5,7000,0,0,2,35
XZTCM,39,M,Manager,Single,None,75000,Suburban,Honda,8,1.5,16000,2,2,1,11
GFJSF,36,F,Artist,Divorced,Master,120000,Urban,Audi,12,3,17000,2,1,0,34
YZDIK,62,F,Artist,Divorced,PhD,135000,Suburban,Nissan,1,2,18000,1,3,3,17
PSRRK,42,F,Teacher,Divorced,None,115000,Rural,Ford,3,4,5000,1,4,1,36
WQHIG,33,M,Artist,Single,Master,60000,Suburban,BMW,3,3.5,16000,0,4,1,6
AUCXO,40,F,Architect,Married,PhD,90000,Urban,Honda,7,3,19000,0,3,1,23
JHGYU,50,F,Teacher,Married,None,135000,Urban,Tesla,2,4,8000,1,2,1,10
ULZWH,36,M,Teacher,Single,PhD,95000,Suburban,Tesla,7,1.5,5000,2,3,3,13
ZHGUB,69,M,Artist,Divorced,None,70000,Suburban,Nissan,14,1.5,11000,3,2,2,21
OVNVD,28,M,Student,Divorced,Master,75000,Rural,Toyota,10,2,17000,2,1,3,26
RDRZU,52,F,Lawyer,Married,None,50000,Rural,Ford,2,3,8000,0,2,0,34
NGVOO,50,F,Doctor,Divorced,Master,50000,Suburban,Chevrolet,6,3.5,9000,1,4,0,16
NJNCZ,48,M,Student,Married,Master,40000,Rural,Tesla,5,3,7000,2,2,0,17
AHPUG,36,F,Teacher,Married,None,90000,Rural,Ford,2,2.5,9000,3,4,0,4
XWCBU,24,F,Student,Single,Bachelor,145000,Suburban,Tesla,12,2.5,10000,2,0,1,38
GOUGO,23,F,Manager,Widowed,Master,35000,Urban,Audi,7,2,11000,1,0,0,5
FQGOS,21,M,Lawyer,Single,Bachelor,95000,Rural,Audi,13,2,6000,3,0,0,33
NLVIJ,44,M,Lawyer,Widowed,PhD,70000,Suburban,Tesla,9,4,15000,2,4,0,16
KNCSV,64,M,Lawyer,Single,Bachelor,60000,Urban,Tesla,14,3.5,12000,3,4,0,37
NAWAM,39,M,Engineer,Divorced,None,105000,Rural,Honda,10,1.5,15000,0,1,1,10
HKEDK,30,M,Student,Single,Master,40000,Suburban,Mercedes,6,3,10000,0,4,2,38
LZJLK,19,M,Doctor,Married,None,45000,Suburban,BMW,13,2.5,17000,0,2,0,30
ETASX,61,F,Manager,Divorced,Bachelor,60000,Suburban,Chevrolet,5,1.5,6000,3,3,3,18
TDXMH,63,M,Teacher,Widowed,Bachelor,60000,Suburban,Chevrolet,13,3,19000,3,2,2,33
GEEGK,30,M,Lawyer,Married,Bachelor,30000,Suburban,Chevrolet,9,3.5,17000,1,2,0,20
JBYBA,67,F,Engineer,Widowed,Master,30000,Urban,Tesla,10,2,7000,0,1,0,20
YRWHL,58,M,Doctor,Single,PhD,140000,Rural,BMW,5,3,16000,2,3,3,21
LGPKF,57,M,Doctor,Married,None,75000,Rural,Audi,9,3,10000,3,2,0,31
VLOVK,42,F,Student,Single,Master,100000,Suburban,Nissan,1,1.5,9000,1,2,3,3
NWCRU,46,M,Teacher,Widowed,PhD,110000,Rural,Tesla,2,2.5,6000,3,3,2,21
GUPYN,50,M,Artist,Single,Bachelor,145000,Suburban,Nissan,6,2,14000,3,2,0,29
QURDU,38,M,Engineer,Divorced,None,65000,Rural,Ford,13,2,6000,3,4,3,39
WFUYI,31,F,Doctor,Single,Bachelor,110000,Suburban,Chevrolet,13,2,18000,2,4,3,18
DAXNK,63,M,Retired,Divorced,Bachelor,120000,Urban,BMW,4,1.5,16000,1,0,0,16
HCPDA,64,F,Lawyer,Single,Master,110000,Urban,Audi,2,2,17000,3,0,0,10
VXFFM,32,M,Retired,Widowed,PhD,55000,Rural,Honda,3,3.5,7000,1,2,3,24
HXPRO,24,F,Manager,Single,None,50000,Rural,Mercedes,2,2,10000,3,1,3,17
ZRPPL,59,F,Artist,Divorced,PhD,85000,Urban,Audi,5,3.5,13000,2,4,0,6
SYZFI,33,M,Manager,Married,None,80000,Urban,Ford,9,1.5,14000,0,3,1,17
IEBSY,22,M,Doctor,Divorced,None,50000,Rural,Nissan,10,1.5,14000,0,1,2,1
QZFAY,68,M,Teacher,Single,Bachelor,80000,Urban,Mercedes,8,2.5,12000,3,4,3,1
HQEEE,22,F,Manager,Widowed,Master,105000,Rural,Nissan,11,2.5,6000,3,1,1,2
HXLQG,34,F,Teacher,Single,Bachelor,80000,Rural,Ford,5,3.5,15000,0,1,1,38
PSYZR,60,M,Manager,Divorced,Master,115000,Rural,BMW,4,3.5,5000,1,1,1,33
PGVSD,30,F,Artist,Divorced,None,65000,Urban,Honda,4,2,5000,2,4,2,38
ZTHMF,41,M,Engineer,Single,PhD,110000,Urban,Ford,14,2,17000,0,1,1,22
EPSNZ,42,M,Teacher,Divorced,PhD,40000,Urban,Toyota,11,1.5,19000,0,4,3,32
PMQWJ,53,M,Manager,Single,None,140000,Rural,Toyota,12,3.5,6000,2,2,2,23
MGDQU,22,M,Student,Widowed,PhD,70000,Rural,Audi,2,3.5,13000,1,2,2,24
MLOQR,69,F,Engineer,Divorced,None,140000,Urban,Audi,6,4,13000,2,3,3,23
FTXLK,62,M,Engineer,Single,Master,100000,Suburban,Chevrolet,13,4,11000,0,3,0,34
NSZLO,35,F,Teacher,Widowed,None,135000,Rural,Nissan,12,2,16000,3,2,2,24
TZVVQ,19,F,Lawyer,Divorced,None,50000,Urban,Toyota,6,2,19000,2,4,1,19
XBMVG,68,M,Architect,Widowed,None,50000,Urban,Mercedes,3,2,10000,0,1,2,20
YEEUX,35,M,Architect,Single,None,60000,Rural,Nissan,9,3,7000,0,4,0,3
ICRFO,34,F,Architect,Divorced,None,125000,Urban,BMW,4,2,5000,0,0,3,36
LLNQD,47,F,Retired,Married,PhD,110000,Suburban,Chevrolet,7,3,17000,2,1,0,8
ZCXJN,61,F,Manager,Divorced,Bachelor,115000,Suburban,Audi,4,4,6000,2,3,3,13
GGVVO,20,F,Engineer,Widowed,None,105000,Rural,Ford,10,3,6000,3,3,3,39
AUBOF,60,M,Architect,Married,Bachelor,90000,Rural,Mercedes,8,2.5,10000,0,0,3,8
MMNOC,18,M,Lawyer,Widowed,None,95000,Suburban,BMW,3,2,17000,3,1,1,1
GSWDD,21,F,Lawyer,Married,Master,130000,Rural,Audi,1,1.5,9000,3,4,3,12
LRXMU,50,M,Student,Widowed,Bachelor,35000,Suburban,Tesla,8,1.5,12000,0,4,0,2
JVZCQ,59,F,Doctor,Married,Master,80000,Urban,Toyota,13,3,14000,0,0,0,8
KSHOT,43,F,Engineer,Married,None,85000,Rural,Nissan,14,3,10000,3,2,2,29
HMEBT,26,M,Doctor,Divorced,PhD,115000,Suburban,Honda,8,1.5,19000,0,0,0,15
CLOXA,36,M,Artist,Married,None,110000,Suburban,Mercedes,8,2.5,18000,3,4,0,25
FPEPK,33,M,Architect,Single,Bachelor,85000,Suburban,Chevrolet,7,1.5,17000,1,4,2,27
VZEFK,43,M,Doctor,Married,Master,45000,Suburban,Toyota,2,2.5,5000,3,0,3,29
AJGUC,30,M,Doctor,Divorced,None,110000,Rural,Nissan,2,1.5,10000,0,2,0,19
THITP,37,M,Artist,Divorced,None,95000,Suburban,Nissan,4,1.5,14000,2,0,0,34
ZIGGX,58,M,Artist,Widowed,PhD,115000,Rural,Mercedes,12,4,6000,0,0,1,17
HMNOI,26,M,Student,Divorced,Master,40000,Urban,Toyota,1,3,15000,3,4,3,35
ESNLJ,40,M,Retired,Divorced,Master,55000,Suburban,BMW,7,2,13000,2,0,0,10
DKQOV,65,M,Artist,Widowed,PhD,135000,Urban,Tesla,11,3.5,10000,0,4,2,35
ZIZBV,51,F,Teacher,Single,Master,145000,Suburban,Audi,7,3.5,7000,1,0,0,9
XCIHD,50,M,Teacher,Single,PhD,25000,Rural,Tesla,4,2,17000,2,3,1,2
MUVIK,38,F,Student,Single,Master,50000,Rural,Audi,6,1.5,18000,1,2,1,14
XYQIF,52,M,Artist,Widowed,Bachelor,45000,Suburban,Nissan,14,4,14000,0,2,3,3
